type	category	name	url	ref	version	purpose
github	01-计算机基础	ossu-computer-science	https://github.com/ossu/computer-science	master	rolling	综合课程路线
github	01-计算机基础	cs-self-learning	https://github.com/PKUFlyingPig/cs-self-learning	master	rolling	中文自学路线
github	01-计算机基础	riscv-isa-manual	https://github.com/riscv/riscv-isa-manual	main	rolling	指令集与体系结构
github	01-计算机基础	nemu	https://github.com/NJU-ProjectN/nemu	master	rolling	计算机系统实验
github	01-计算机基础	ics-pa-gitbook	https://github.com/NJU-ProjectN/ics-pa-gitbook	master	rolling	南京大学PA讲义
github	01-计算机基础	xv6-riscv	https://github.com/mit-pdos/xv6-riscv	riscv	rolling	操作系统源码实验
github	01-计算机基础	xv6-riscv-book	https://github.com/mit-pdos/xv6-riscv-book	xv6-riscv	rolling	xv6教材源码
github	01-计算机基础	ostep-code	https://github.com/remzi-arpacidusseau/ostep-code	master	rolling	OSTEP配套示例
github	01-计算机基础	computer-networks-systems-approach	https://github.com/SystemsApproach/book	master	rolling	开放网络教材
github	01-计算机基础	open-data-structures	https://github.com/patmorin/ods	master	rolling	开放数据结构教材
github	01-计算机基础	cp-algorithms	https://github.com/cp-algorithms/cp-algorithms	main	rolling	算法原理与实现
github	01-计算机基础	the-algorithms-python	https://github.com/TheAlgorithms/Python	master	rolling	算法示例
github	02-Web与服务端	http-core	https://github.com/httpwg/http-core	main	rolling	HTTP标准
github	02-Web与服务端	mdn-content	https://github.com/mdn/content	main	rolling	Web系统教程与参考
github	02-Web与服务端	whatwg-html	https://github.com/whatwg/html	main	rolling	HTML标准
github	02-Web与服务端	everything-curl	https://github.com/curl/everything-curl	master	rolling	网络客户端开放教材
github	02-Web与服务端	php-doc-zh	https://github.com/php/doc-zh	master	rolling	PHP中文手册
github	02-Web与服务端	php-doc-en	https://github.com/php/doc-en	master	rolling	PHP英文手册
github	02-Web与服务端	nginx-documentation	https://github.com/nginx/documentation	main	rolling	Nginx官方文档
github	02-Web与服务端	nodejs-documentation	https://github.com/nodejs/nodejs.org	main	rolling	Node.js官方文档
github	02-Web与服务端	vue3-documentation	https://github.com/vuejs/docs	main	3.x	Vue3官方文档
github	02-Web与服务端	react-documentation	https://github.com/reactjs/react.dev	main	rolling	React官方文档
file	03-数据库与中间件	mysql-5.7-manual	https://downloads.mysql.com/docs/refman-5.7-en.pdf	-	5.7	MySQL完整官方手册
file	03-数据库与中间件	mysql-8.0-manual	https://downloads.mysql.com/docs/refman-8.0-en.pdf	-	8.0	MySQL完整官方手册
file	03-数据库与中间件	mysql-8.4-manual	https://downloads.mysql.com/docs/refman-8.4-en.pdf	-	8.4	MySQL完整官方手册
github	03-数据库与中间件	redis-docs	https://github.com/redis/docs	main	rolling	Redis官方文档
github	03-数据库与中间件	elasticsearch-docs	https://github.com/elastic/docs-content	main	rolling	Elastic官方文档
github	03-数据库与中间件	mongodb-docs	https://github.com/mongodb/docs	main	rolling	MongoDB官方文档
github	03-数据库与中间件	rabbitmq-documentation	https://github.com/rabbitmq/rabbitmq-website	main	rolling	RabbitMQ官方文档
github	03-数据库与中间件	grpc-documentation	https://github.com/grpc/grpc.io	main	rolling	gRPC官方文档
github	04-分布式与架构	design-patterns-php	https://github.com/RefactoringGuru/design-patterns-php	main	rolling	PHP设计模式案例
github	04-分布式与架构	java-design-patterns	https://github.com/iluwatar/java-design-patterns	master	rolling	设计模式案例库
github	04-分布式与架构	system-design-primer	https://github.com/donnemartin/system-design-primer	master	rolling	系统设计教程
github	04-分布式与架构	system-design-101	https://github.com/ByteByteGoHq/system-design-101	main	rolling	系统设计图解
github	04-分布式与架构	architecture-center	https://github.com/MicrosoftDocs/architecture-center	main	rolling	架构模式与案例
github	04-分布式与架构	openapi-specification	https://github.com/OAI/OpenAPI-Specification	main	rolling	API设计标准
github	05-运维可观测性与安全	docker-docs	https://github.com/docker/docs	main	rolling	容器官方文档
github	05-运维可观测性与安全	kubernetes-website	https://github.com/kubernetes/website	main	rolling	Kubernetes官方文档
github	05-运维可观测性与安全	prometheus-docs	https://github.com/prometheus/docs	main	rolling	指标监控官方文档
github	05-运维可观测性与安全	opentelemetry-docs	https://github.com/open-telemetry/opentelemetry.io	main	rolling	可观测性官方文档
github	05-运维可观测性与安全	owasp-cheat-sheets	https://github.com/OWASP/CheatSheetSeries	master	rolling	Web安全实践
